SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA
US_Bmu,BigMuskellunge,0,3866522
US_Bmu,BigMuskellunge,1,3265595
US_Bmu,BigMuskellunge,2,2973027
US_Bmu,BigMuskellunge,3,2811699
US_Bmu,BigMuskellunge,4,2585302
US_Bmu,BigMuskellunge,5,2403574
US_Bmu,BigMuskellunge,6,2246654
US_Bmu,BigMuskellunge,7,1866963
US_Bmu,BigMuskellunge,8,1633293
US_Bmu,BigMuskellunge,9,1545934
US_Bmu,BigMuskellunge,10,1545934
US_Bmu,BigMuskellunge,11,1455083
US_Bmu,BigMuskellunge,12,1132522
US_Bmu,BigMuskellunge,13,1032502
US_Bmu,BigMuskellunge,14,904704
US_Bmu,BigMuskellunge,15,736021
US_Bmu,BigMuskellunge,16,640483
US_Bmu,BigMuskellunge,17,471347
US_Bmu,BigMuskellunge,18,226791
US_Bmu,BigMuskellunge,19,150913
US_Bmu,BigMuskellunge,20,80031
US_Bmu,BigMuskellunge,21,0
