SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA
CH_LLZ,Lower Lake Zurich,0,66600000
CH_LLZ,Lower Lake Zurich,5,61000000
CH_LLZ,Lower Lake Zurich,10,58300000
CH_LLZ,Lower Lake Zurich,15,54100000
CH_LLZ,Lower Lake Zurich,20,46700000
CH_LLZ,Lower Lake Zurich,25,33700000
CH_LLZ,Lower Lake Zurich,30,30300000
CH_LLZ,Lower Lake Zurich,35,28700000
CH_LLZ,Lower Lake Zurich,40,27200000
CH_LLZ,Lower Lake Zurich,45,25800000
CH_LLZ,Lower Lake Zurich,50,24700000
CH_LLZ,Lower Lake Zurich,55,23600000
CH_LLZ,Lower Lake Zurich,60,22300000
CH_LLZ,Lower Lake Zurich,65,20100000
CH_LLZ,Lower Lake Zurich,70,19900000
CH_LLZ,Lower Lake Zurich,75,19000000
CH_LLZ,Lower Lake Zurich,80,18200000
CH_LLZ,Lower Lake Zurich,85,17400000
CH_LLZ,Lower Lake Zurich,90,16600000
CH_LLZ,Lower Lake Zurich,95,15700000
CH_LLZ,Lower Lake Zurich,100,14800000
CH_LLZ,Lower Lake Zurich,105,13800000
CH_LLZ,Lower Lake Zurich,110,12600000
CH_LLZ,Lower Lake Zurich,115,11100000
CH_LLZ,Lower Lake Zurich,120,9000000
CH_LLZ,Lower Lake Zurich,125,6300000
CH_LLZ,Lower Lake Zurich,130,3400000
CH_LLZ,Lower Lake Zurich,135,500000
CH_LLZ,Lower Lake Zurich,136,0
