SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA
CH_NEU,Lake Neuchatel,0,217900000
CH_NEU,Lake Neuchatel,9,162500000
CH_NEU,Lake Neuchatel,19,152000000
CH_NEU,Lake Neuchatel,29,142000000
CH_NEU,Lake Neuchatel,39,132000000
CH_NEU,Lake Neuchatel,49,122000000
CH_NEU,Lake Neuchatel,59,110000000
CH_NEU,Lake Neuchatel,69,98000000
CH_NEU,Lake Neuchatel,79,85000000
CH_NEU,Lake Neuchatel,89,75000000
CH_NEU,Lake Neuchatel,99,65000000
CH_NEU,Lake Neuchatel,109,57000000
CH_NEU,Lake Neuchatel,119,46000000
CH_NEU,Lake Neuchatel,129,32000000
CH_NEU,Lake Neuchatel,139,10000000
CH_NEU,Lake Neuchatel,149,1000000
CH_NEU,Lake Neuchatel,153,10000
CH_NEU,Lake Neuchatel,154,0
