SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA
ES-Sau,Sau Reservoir,0,5999766.8
ES-Sau,Sau Reservoir,0.54,5944169.15
ES-Sau,Sau Reservoir,1.54,5810168.49
ES-Sau,Sau Reservoir,2.54,5661639.35
ES-Sau,Sau Reservoir,3.54,5534433.79
ES-Sau,Sau Reservoir,4.54,5399721.46
ES-Sau,Sau Reservoir,5.54,5264874.32
ES-Sau,Sau Reservoir,6.54,5097163.86
ES-Sau,Sau Reservoir,7.54,4960082.47
ES-Sau,Sau Reservoir,8.54,4843177.19
ES-Sau,Sau Reservoir,9.54,4720941.89
ES-Sau,Sau Reservoir,10.54,4608242.26
ES-Sau,Sau Reservoir,11.54,4495187.73
ES-Sau,Sau Reservoir,12.54,4393014.88
ES-Sau,Sau Reservoir,13.54,4292236.4
ES-Sau,Sau Reservoir,14.54,4193774.53
ES-Sau,Sau Reservoir,15.54,4084796.54
ES-Sau,Sau Reservoir,16.54,3930219.88
ES-Sau,Sau Reservoir,17.54,3790900.21
ES-Sau,Sau Reservoir,18.54,3671706.4
ES-Sau,Sau Reservoir,19.54,3563206.57
ES-Sau,Sau Reservoir,20.54,3426626.36
ES-Sau,Sau Reservoir,21.54,3326417.75
ES-Sau,Sau Reservoir,22.54,3229475.01
ES-Sau,Sau Reservoir,23.54,3135233.67
ES-Sau,Sau Reservoir,24.54,3042020.04
ES-Sau,Sau Reservoir,25.54,2945708.42
ES-Sau,Sau Reservoir,26.54,2846967.51
ES-Sau,Sau Reservoir,27.54,2724520.41
ES-Sau,Sau Reservoir,28.54,2603570.27
ES-Sau,Sau Reservoir,29.54,2508118.57
ES-Sau,Sau Reservoir,30.54,2429669.31
ES-Sau,Sau Reservoir,31.54,2359427.44
ES-Sau,Sau Reservoir,32.54,2286898.45
ES-Sau,Sau Reservoir,33.54,2223763.52
ES-Sau,Sau Reservoir,34.54,2163313.5
ES-Sau,Sau Reservoir,35.54,2105424.98
ES-Sau,Sau Reservoir,36.54,2043286.52
ES-Sau,Sau Reservoir,37.54,1967678.18
ES-Sau,Sau Reservoir,38.54,1900664.32
ES-Sau,Sau Reservoir,39.54,1839481.65
ES-Sau,Sau Reservoir,40.54,1771416.04
ES-Sau,Sau Reservoir,41.54,1708788.54
ES-Sau,Sau Reservoir,42.54,1651208.45
ES-Sau,Sau Reservoir,43.54,1592274.14
ES-Sau,Sau Reservoir,44.54,1532486.8
ES-Sau,Sau Reservoir,45.54,1469841.76
ES-Sau,Sau Reservoir,46.54,1407411.7
ES-Sau,Sau Reservoir,47.54,1340524.91
ES-Sau,Sau Reservoir,48.54,1264399.52
ES-Sau,Sau Reservoir,49.54,1169862.13
ES-Sau,Sau Reservoir,50.54,1054817.24
ES-Sau,Sau Reservoir,51.54,891087.99
ES-Sau,Sau Reservoir,52.54,781758.22
ES-Sau,Sau Reservoir,53.54,621455.23
ES-Sau,Sau Reservoir,54.54,485032.18
ES-Sau,Sau Reservoir,55.54,349191.39
ES-Sau,Sau Reservoir,56.54,164635.5
ES-Sau,Sau Reservoir,57.54,62376.85
ES-Sau,Sau Reservoir,58.54,11244.41
ES-Sau,Sau Reservoir,59.54,171
