SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA
GE_Ste,Stechlin,0,4231549
GE_Ste,Stechlin,0.5,4141318
GE_Ste,Stechlin,1,4054462
GE_Ste,Stechlin,1.5,3969475
GE_Ste,Stechlin,2,3889495
GE_Ste,Stechlin,2.5,3809706
GE_Ste,Stechlin,3,3726536
GE_Ste,Stechlin,3.5,3648890
GE_Ste,Stechlin,4,3574840
GE_Ste,Stechlin,4.5,3517310
GE_Ste,Stechlin,5,3468050
GE_Ste,Stechlin,5.5,3423374
GE_Ste,Stechlin,6,3386555
GE_Ste,Stechlin,6.5,3351545
GE_Ste,Stechlin,7,3318678
GE_Ste,Stechlin,7.5,3286046
GE_Ste,Stechlin,8,3251176
GE_Ste,Stechlin,8.5,3212557
GE_Ste,Stechlin,9,3174119
GE_Ste,Stechlin,9.5,3136977
GE_Ste,Stechlin,10,3097542
GE_Ste,Stechlin,10.5,3056917
GE_Ste,Stechlin,11,3019864
GE_Ste,Stechlin,11.5,2981292
GE_Ste,Stechlin,12,2942661
GE_Ste,Stechlin,12.5,2902547
GE_Ste,Stechlin,13,2861329
GE_Ste,Stechlin,13.5,2820356
GE_Ste,Stechlin,14,2783068
GE_Ste,Stechlin,14.5,2748412
GE_Ste,Stechlin,15,2715164
GE_Ste,Stechlin,15.5,2680158
GE_Ste,Stechlin,16,2643813
GE_Ste,Stechlin,16.5,2604401
GE_Ste,Stechlin,17,2561741
GE_Ste,Stechlin,17.5,2517433
GE_Ste,Stechlin,18,2470982
GE_Ste,Stechlin,18.5,2424213
GE_Ste,Stechlin,19,2371132
GE_Ste,Stechlin,19.5,2318389
GE_Ste,Stechlin,20,2268956
GE_Ste,Stechlin,20.5,2219604
GE_Ste,Stechlin,21,2173447
GE_Ste,Stechlin,21.5,2128782
GE_Ste,Stechlin,22,2086124
GE_Ste,Stechlin,22.5,2044154
GE_Ste,Stechlin,23,2003131
GE_Ste,Stechlin,23.5,1962791
GE_Ste,Stechlin,24,1926288
GE_Ste,Stechlin,24.5,1888958
GE_Ste,Stechlin,25,1852822
GE_Ste,Stechlin,25.5,1814174
GE_Ste,Stechlin,26,1772399
GE_Ste,Stechlin,26.5,1726366
GE_Ste,Stechlin,27,1677585
GE_Ste,Stechlin,27.5,1625381
GE_Ste,Stechlin,28,1576885
GE_Ste,Stechlin,28.5,1528566
GE_Ste,Stechlin,29,1484285
GE_Ste,Stechlin,29.5,1445816
GE_Ste,Stechlin,30,1406403
GE_Ste,Stechlin,30.5,1365643
GE_Ste,Stechlin,31,1327309
GE_Ste,Stechlin,31.5,1290155
GE_Ste,Stechlin,32,1258464
GE_Ste,Stechlin,32.5,1227044
GE_Ste,Stechlin,33,1196254
GE_Ste,Stechlin,33.5,1165296
GE_Ste,Stechlin,34,1137545
GE_Ste,Stechlin,34.5,1108870
GE_Ste,Stechlin,35,1079775
GE_Ste,Stechlin,35.5,1049236
GE_Ste,Stechlin,36,1014807
GE_Ste,Stechlin,36.5,977127
GE_Ste,Stechlin,37,940780
GE_Ste,Stechlin,37.5,906770
GE_Ste,Stechlin,38,878050
GE_Ste,Stechlin,38.5,849691
GE_Ste,Stechlin,39,825947
GE_Ste,Stechlin,39.5,801781
GE_Ste,Stechlin,40,776500
GE_Ste,Stechlin,40.5,754281
GE_Ste,Stechlin,41,729308
GE_Ste,Stechlin,41.5,702888
GE_Ste,Stechlin,42,672406
GE_Ste,Stechlin,42.5,640970
GE_Ste,Stechlin,43,614106
GE_Ste,Stechlin,43.5,595741
GE_Ste,Stechlin,44,578935
GE_Ste,Stechlin,44.5,563572
GE_Ste,Stechlin,45,547015
GE_Ste,Stechlin,45.5,530090
GE_Ste,Stechlin,46,513218
GE_Ste,Stechlin,46.5,495954
GE_Ste,Stechlin,47,476730
GE_Ste,Stechlin,47.5,455863
GE_Ste,Stechlin,48,433172
GE_Ste,Stechlin,48.5,409759
GE_Ste,Stechlin,49,390878
GE_Ste,Stechlin,49.5,372414
GE_Ste,Stechlin,50,354815
GE_Ste,Stechlin,50.5,336842
GE_Ste,Stechlin,51,317896
GE_Ste,Stechlin,51.5,297467
GE_Ste,Stechlin,52,274673
GE_Ste,Stechlin,52.5,255718
GE_Ste,Stechlin,53,239288
GE_Ste,Stechlin,53.5,223487
GE_Ste,Stechlin,54,208354
GE_Ste,Stechlin,54.5,195223
GE_Ste,Stechlin,55,184444
GE_Ste,Stechlin,55.5,175234
GE_Ste,Stechlin,56,166533
GE_Ste,Stechlin,56.5,157474
GE_Ste,Stechlin,57,148142
GE_Ste,Stechlin,57.5,137680
GE_Ste,Stechlin,58,125168
GE_Ste,Stechlin,58.5,113100
GE_Ste,Stechlin,59,100814
GE_Ste,Stechlin,59.5,91422
GE_Ste,Stechlin,60,82723
GE_Ste,Stechlin,60.5,74663
GE_Ste,Stechlin,61,67595
GE_Ste,Stechlin,61.5,61285
GE_Ste,Stechlin,62,54979
GE_Ste,Stechlin,62.5,49813
GE_Ste,Stechlin,63,44525
GE_Ste,Stechlin,63.5,40062
GE_Ste,Stechlin,64,36420
GE_Ste,Stechlin,64.5,33129
GE_Ste,Stechlin,65,30387
GE_Ste,Stechlin,65.5,27271
GE_Ste,Stechlin,66,24274
GE_Ste,Stechlin,66.5,21259
GE_Ste,Stechlin,67,18067
GE_Ste,Stechlin,67.5,15255
GE_Ste,Stechlin,68,12241
GE_Ste,Stechlin,68.5,9479
GE_Ste,Stechlin,69,6297
GE_Ste,Stechlin,69.5,2653
GE_Ste,Stechlin,70,0
