SITE_ID,SITE_NAME,TIMESTAMP,DEPTH,WTEMP
FR-Gen,Geneva,20100119,0,6.68
FR-Gen,Geneva,20100119,1,6.62
FR-Gen,Geneva,20100119,2.1,6.57
FR-Gen,Geneva,20100119,3.1,6.56
FR-Gen,Geneva,20100119,4,6.55
FR-Gen,Geneva,20100119,5,6.55
FR-Gen,Geneva,20100119,6,6.55
FR-Gen,Geneva,20100119,7,6.54
FR-Gen,Geneva,20100119,8,6.53
FR-Gen,Geneva,20100119,9,6.53
FR-Gen,Geneva,20100119,10,6.52
FR-Gen,Geneva,20100119,11,6.53
FR-Gen,Geneva,20100119,12,6.52
FR-Gen,Geneva,20100119,13.1,6.51
FR-Gen,Geneva,20100119,14.1,6.51
FR-Gen,Geneva,20100119,15.1,6.51
FR-Gen,Geneva,20100119,16,6.51
FR-Gen,Geneva,20100119,17.1,6.5
FR-Gen,Geneva,20100119,18.1,6.49
FR-Gen,Geneva,20100119,19.1,6.49
FR-Gen,Geneva,20100119,20,6.49
FR-Gen,Geneva,20100119,21.1,6.49
FR-Gen,Geneva,20100119,22,6.49
FR-Gen,Geneva,20100119,23,6.49
FR-Gen,Geneva,20100119,24,6.48
FR-Gen,Geneva,20100119,25,6.48
FR-Gen,Geneva,20100119,26.1,6.48
FR-Gen,Geneva,20100119,27,6.48
FR-Gen,Geneva,20100119,28,6.48
FR-Gen,Geneva,20100119,29.1,6.48
FR-Gen,Geneva,20100119,30,6.48
FR-Gen,Geneva,20100119,31.1,6.48
FR-Gen,Geneva,20100119,32.1,6.48
FR-Gen,Geneva,20100119,33.1,6.48
FR-Gen,Geneva,20100119,34.1,6.48
FR-Gen,Geneva,20100119,35.1,6.48
FR-Gen,Geneva,20100119,36.1,6.48
FR-Gen,Geneva,20100119,37,6.44
FR-Gen,Geneva,20100119,38,6.36
FR-Gen,Geneva,20100119,39,6.32
FR-Gen,Geneva,20100119,40.1,6.28
FR-Gen,Geneva,20100119,41.1,6.27
FR-Gen,Geneva,20100119,42,6.23
FR-Gen,Geneva,20100119,43.1,6.19
FR-Gen,Geneva,20100119,44,6.15
FR-Gen,Geneva,20100119,45,6.12
FR-Gen,Geneva,20100119,46,6.12
FR-Gen,Geneva,20100119,47.1,6.1
FR-Gen,Geneva,20100119,48.1,6.09
FR-Gen,Geneva,20100119,49,6.06
FR-Gen,Geneva,20100119,50.1,6.04
FR-Gen,Geneva,20100119,51,6.02
FR-Gen,Geneva,20100119,52.1,6.02
FR-Gen,Geneva,20100119,53,6.01
FR-Gen,Geneva,20100119,54.2,6
FR-Gen,Geneva,20100119,55.1,6
FR-Gen,Geneva,20100119,56.1,5.99
FR-Gen,Geneva,20100119,57.1,5.98
FR-Gen,Geneva,20100119,58.1,5.97
FR-Gen,Geneva,20100119,59.1,5.97
FR-Gen,Geneva,20100119,60.1,5.95
FR-Gen,Geneva,20100119,61,5.94
FR-Gen,Geneva,20100119,62,5.94
FR-Gen,Geneva,20100119,63.1,5.92
FR-Gen,Geneva,20100119,64,5.92
FR-Gen,Geneva,20100119,65.1,5.91
FR-Gen,Geneva,20100119,66,5.91
FR-Gen,Geneva,20100119,67,5.91
FR-Gen,Geneva,20100119,68,5.9
FR-Gen,Geneva,20100119,69.1,5.89
FR-Gen,Geneva,20100119,70.1,5.89
FR-Gen,Geneva,20100119,71.1,5.88
