Lake.name,Lake.Short.Name,ISIMIP_name
Allequash Lake,Allequash ,Allequash_Lake
Alqueva Reservoir,Alqueva ,Alqueva 
Lake Annecy,Annecy,Annecy
Lake Annie,Annie,Annie
Lake Argyle,Argyle,Argyle
Lake Biel,Biel,Biel
Big Muskellunge Lake,BigMuskellunge,Big_Muskellunge_Lake
Black Oak Lake,BlackOak ,Black_Oak_Lake 
Lake Bourget,Bourget,Bourget
Lake Burley Griffin,BurleyGriffin,Burley_Griffin
Crystal Lake,Crystal ,Crystal_Lake
Crystal Bog,CrystalBog,Crystal_Bog
Delavan Lake,Delavan,Delavan
Dickie Lake,Dickie ,Dickie_Lake
Eagle Lake,Eagle ,Eagle_Lake
Ekoln basin of Malaren,Ekoln ,Ekoln_basin_of_Malaren
Lake Erken,Erken,Erken
Esthwaite Water,EsthwaiteWater,Esthwaite_Water
Falling Creek Reservoir,FallingCreek,Falling_Creek_Reservoir
Lake Feeagh,Feeagh,Feeagh
Fish Lake,Fish ,Fish_Lake
Lake Geneva,Geneva,Geneva
Great Pond,GreatPond,Great_Pond
Green Lake,Green ,Green_Lake
Harp Lake,Harp ,Harp_Lake
Kilpisjarvi,Kilpisjarvi,Kilpisjarvi
Lake Kinneret,Kinneret,Kinneret
Lake Kivu,Kivu,Kivu
Klicava Reservoir,Klicava,Klicava
Lake Kuivajarvi,Kuivajarvi,Kuivajarvi
Lake Langtjern,Langtjern,Langtjern
Laramie Lake,Laramie,Laramie_Lake
Lower Lake Zurich,LowerLakeZurich,Lower_Zurich
Lake Mendota,Mendota,Mendota
Lake Monona,Monona,Monona
Mozaisk reservoir,Mozaisk,Mozaisk
Mt Bold,Mt Bold,Mt_Bold
Lake Muggelsee,Muggelsee,Mueggelsee
Lake Neuchactel,Neuchactel,Neuchatel
Ngoring ,Ngoring ,Ngoring 
Lake Nohipalo Mustjarv,NohipaloMustjarv,Nohipalo_Mustjarv
Lake Nohipalo Valgejarv,NohipaloValgejarv,Nohipalo_Valgejarv
Okauchee Lake,Okauchee,Okauchee_Lake
Lake Paajarvi,Paajarvi,Paajarvi
Rappbode Reservoir,Rappbode,Rappbode_Reservoir
Rimov Reservoir,Rimov,Rimov
Lake Rotorua,Rotorua,Rotorua
Lake Sammamish,Sammamish,Sammamish
Sau Reservoir,Sau,Sau_Reservoir
Sparkling Lake,Sparkling,Sparkling_Lake
Lake Stechlin,Stechlin,Stechlin
Lake Sunapee,Sunapee,Sunapee
Lake Tahoe,Tahoe,Tahoe
Lake Tarawera,Tarawera,Tarawera
Lake Taupo,Taupo,Taupo
Toolik Lake,Toolik,Toolik_Lake
Trout Lake,Trout,Trout_Lake
Trout Bog,TroutBog,Trout_Bog
Two Sisters Lake,TwoSisters,Two_Sisters_Lake
Lake Vendyurskoe,Vendyurskoe,Vendyurskoe
lake Vortsjarv,Vortsjarv,Vortsjarv
Lake Waahi,Waahi,Waahi
Lake Washington,Washington,Washington
Windermere,Windermere,Windermere
Lake Wingra,Wingra,Wingra
Zlutice Reservoir,Zlutice,Zlutice
