Country,Lake Short Name,ISIMIP_name
US,Allequash ,Allequash_Lake
PT,Alqueva ,Alqueva 
FR,Annecy,Annecy
US,Annie,Annie
AU,Argyle,Argyle
CH,Biel,Biel
US,BigMuskellunge,Big_Muskellunge_Lake
US,BlackOak ,Black_Oak_Lake 
FR,Bourget,Bourget
AU,BurleyGriffin,Burley_Griffin
US,Crystal ,Crystal_Lake
US,CrystalBog,Crystal_Bog
US,Delavan,Delavan
CA,Dickie ,Dickie_Lake
CA,Eagle ,Eagle_Lake
SE,Ekoln ,Ekoln_basin_of_Malaren
SE,Erken,Erken
UK,EsthwaiteWater,Esthwaite_Water
US,FallingCreek,Falling_Creek_Reservoir
IE,Feeagh,Feeagh
US,Fish ,Fish_Lake
FR,Geneva,Geneva
US,GreatPond,Great_Pond
US,Green ,Green_Lake
CA,Harp ,Harp_Lake
FI,Kilpisjarvi,Kilpisjarvi
IL,Kinneret,Kinneret
RW,Kivu,Kivu
CZ,Klicava,Klicava
FI,Kuivajarvi,Kuivajarvi
NO,Langtjern,Langtjern
US,Laramie,Laramie_Lake
CH,LowerLakeZurich,Lower_Zurich
US,Mendota,Mendota
US,Monona,Monona
RU,Mozaisk,Mozaisk
AU,MtBold,Mt_Bold
DE,Muggelsee,Mueggelsee
CH,Neuchatel,Neuchatel
CN,Ngoring ,Ngoring 
EE,NohipaloMustjarv,Nohipalo_Mustjarv
EE,NohipaloValgejarv,Nohipalo_Valgejarv
US,Okauchee,Okauchee_Lake
FI,Paajarvi,Paajarvi
DE,Rappbode,Rappbode_Reservoir
CZ,Rimov,Rimov
NZ,Rotorua,Rotorua
US,Sammamish,Sammamish
ES,Sau,Sau_Reservoir
US,Sparkling,Sparkling_Lake
DE,Stechlin,Stechlin
US,Sunapee,Sunapee
US,Tahoe,Tahoe
NZ,Tarawera,Tarawera
NZ,Taupo,Taupo
US,Toolik,Toolik_Lake
US,Trout,Trout_Lake
US,TroutBog,Trout_Bog
US,TwoSisters,Two_Sisters_Lake
RU,Vendyurskoe,Vendyurskoe
EE,Vortsjarv,Vortsjarv
NZ,Waahi,Waahi
US,Washington,Washington
UK,Windermere,Windermere
US,Wingra,Wingra
CZ,Zlutice,Zlutice
