SITE_ID,SITE_NAME,TIMESTAMP_START,TIMESTAMP_END,DEPTH,WTEMP
US-Tro,Trout,200405211500,200405211600,0,10.62
US-Tro,Trout,200405211500,200405211600,1,10.7
US-Tro,Trout,200405211500,200405211600,2,10.68
US-Tro,Trout,200405211500,200405211600,3,10.64
US-Tro,Trout,200405211500,200405211600,4,10.62
US-Tro,Trout,200405211500,200405211600,5,10.62
US-Tro,Trout,200405211500,200405211600,6,10.62
US-Tro,Trout,200405211500,200405211600,7,10.58
US-Tro,Trout,200405211500,200405211600,7.5,10.42
US-Tro,Trout,200405211500,200405211600,8,10.29
US-Tro,Trout,200405211500,200405211600,8.5,9.84
US-Tro,Trout,200405211500,200405211600,9,9.34
US-Tro,Trout,200405211500,200405211600,9.5,9.28
US-Tro,Trout,200405211500,200405211600,10,9.24
US-Tro,Trout,200405211500,200405211600,10.5,9.24
US-Tro,Trout,200405211500,200405211600,11,9.19
US-Tro,Trout,200405211500,200405211600,11.5,9.16
US-Tro,Trout,200405211500,200405211600,12,9.02
US-Tro,Trout,200405211500,200405211600,12.5,8.8
US-Tro,Trout,200405211500,200405211600,13,8.9
US-Tro,Trout,200405211500,200405211600,13.5,8.64
US-Tro,Trout,200405211500,200405211600,14,8.48
US-Tro,Trout,200405211500,200405211600,16,7.86
US-Tro,Trout,200405211500,200405211600,19,6.97
US-Tro,Trout,200405211500,200405211600,23,6.58
US-Tro,Trout,200405211500,200405211600,27,6.29
US-Tro,Trout,200405211500,200405211600,31,6.26
US-Tro,Trout,200405211600,200405211700,0,10.58
US-Tro,Trout,200405211600,200405211700,1,10.69
US-Tro,Trout,200405211600,200405211700,2,10.62
US-Tro,Trout,200405211600,200405211700,3,10.59
US-Tro,Trout,200405211600,200405211700,4,10.62
US-Tro,Trout,200405211600,200405211700,5,10.61
US-Tro,Trout,200405211600,200405211700,6,10.6
US-Tro,Trout,200405211600,200405211700,7,10.53
US-Tro,Trout,200405211600,200405211700,7.5,10.3
US-Tro,Trout,200405211600,200405211700,8,10.08
US-Tro,Trout,200405211600,200405211700,8.5,9.87
US-Tro,Trout,200405211600,200405211700,9,9.71
US-Tro,Trout,200405211600,200405211700,9.5,9.34
US-Tro,Trout,200405211600,200405211700,10,9.24
US-Tro,Trout,200405211600,200405211700,10.5,9.24
US-Tro,Trout,200405211600,200405211700,11,9.18
US-Tro,Trout,200405211600,200405211700,11.5,9.05
US-Tro,Trout,200405211600,200405211700,12,8.86
US-Tro,Trout,200405211600,200405211700,12.5,8.74
US-Tro,Trout,200405211600,200405211700,13,8.8
US-Tro,Trout,200405211600,200405211700,13.5,8.61
US-Tro,Trout,200405211600,200405211700,14,8.4
US-Tro,Trout,200405211600,200405211700,16,8
US-Tro,Trout,200405211600,200405211700,19,7.01
US-Tro,Trout,200405211600,200405211700,23,6.52
US-Tro,Trout,200405211600,200405211700,27,6.29
US-Tro,Trout,200405211600,200405211700,31,6.29
US-Tro,Trout,200405211700,200405211800,0,10.58
US-Tro,Trout,200405211700,200405211800,1,10.64
US-Tro,Trout,200405211700,200405211800,2,10.62
US-Tro,Trout,200405211700,200405211800,3,10.57
US-Tro,Trout,200405211700,200405211800,4,10.6
US-Tro,Trout,200405211700,200405211800,5,10.61
US-Tro,Trout,200405211700,200405211800,6,10.6
US-Tro,Trout,200405211700,200405211800,7,10.53
US-Tro,Trout,200405211700,200405211800,7.5,10.45
US-Tro,Trout,200405211700,200405211800,8,10.18
US-Tro,Trout,200405211700,200405211800,8.5,9.96
US-Tro,Trout,200405211700,200405211800,9,9.5
US-Tro,Trout,200405211700,200405211800,9.5,9.34
US-Tro,Trout,200405211700,200405211800,10,9.29
US-Tro,Trout,200405211700,200405211800,10.5,9.23
US-Tro,Trout,200405211700,200405211800,11,9
US-Tro,Trout,200405211700,200405211800,11.5,8.79
US-Tro,Trout,200405211700,200405211800,12,8.67
US-Tro,Trout,200405211700,200405211800,12.5,8.61
US-Tro,Trout,200405211700,200405211800,13,8.58
US-Tro,Trout,200405211700,200405211800,13.5,8.43
US-Tro,Trout,200405211700,200405211800,14,8.37
US-Tro,Trout,200405211700,200405211800,16,7.76
US-Tro,Trout,200405211700,200405211800,19,7.36
US-Tro,Trout,200405211700,200405211800,23,6.58
US-Tro,Trout,200405211700,200405211800,27,6.38
US-Tro,Trout,200405211700,200405211800,31,6.24
US-Tro,Trout,200405211800,200405211900,0,10.55
US-Tro,Trout,200405211800,200405211900,1,10.64
US-Tro,Trout,200405211800,200405211900,2,10.62
US-Tro,Trout,200405211800,200405211900,3,10.57
US-Tro,Trout,200405211800,200405211900,4,10.56
US-Tro,Trout,200405211800,200405211900,5,10.54
US-Tro,Trout,200405211800,200405211900,6,10.6
US-Tro,Trout,200405211800,200405211900,7,10.4
US-Tro,Trout,200405211800,200405211900,7.5,10.14
US-Tro,Trout,200405211800,200405211900,8,9.91
US-Tro,Trout,200405211800,200405211900,8.5,9.42
US-Tro,Trout,200405211800,200405211900,9,9.34
US-Tro,Trout,200405211800,200405211900,9.5,9.26
