SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA
US_CRY,Crystal Lake,0,366550
US_CRY,Crystal Lake,1,366541
US_CRY,Crystal Lake,2,349313
US_CRY,Crystal Lake,3,315958
US_CRY,Crystal Lake,4,275639
US_CRY,Crystal Lake,5,265376
US_CRY,Crystal Lake,6,256945
US_CRY,Crystal Lake,7,249248
US_CRY,Crystal Lake,8,242284
US_CRY,Crystal Lake,9,234582
US_CRY,Crystal Lake,10,225789
US_CRY,Crystal Lake,11,211861
US_CRY,Crystal Lake,12,194999
US_CRY,Crystal Lake,13,175207
US_CRY,Crystal Lake,14,155047
US_CRY,Crystal Lake,15,134521
US_CRY,Crystal Lake,16,112895
US_CRY,Crystal Lake,17,94568
US_CRY,Crystal Lake,18,75141
US_CRY,Crystal Lake,19,52049
US_CRY,Crystal Lake,20,32256
US_CRY,Crystal Lake,21,16128
US_CRY,Crystal Lake,22,0
