SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA
US_OKA,Okauchee,0,4632223
US_OKA,Okauchee,1,4460554.431
US_OKA,Okauchee,2,4289090.067
US_OKA,Okauchee,3,4120234.236
US_OKA,Okauchee,4,3951377.431
US_OKA,Okauchee,5,3782512.983
US_OKA,Okauchee,6,3613648.534
US_OKA,Okauchee,7,3444784.086
US_OKA,Okauchee,8,3275919.638
US_OKA,Okauchee,9,3107055.189
US_OKA,Okauchee,10,2938192.765
US_OKA,Okauchee,11,2769336.935
US_OKA,Okauchee,12,2600478.731
US_OKA,Okauchee,13,2431614.283
US_OKA,Okauchee,14,2262749.834
US_OKA,Okauchee,15,2093885.386
US_OKA,Okauchee,16,1925024.011
US_OKA,Okauchee,17,1756168.18
US_OKA,Okauchee,18,1587308.928
US_OKA,Okauchee,19,1418444.479
US_OKA,Okauchee,20,1249580.031
US_OKA,Okauchee,21,1080715.583
US_OKA,Okauchee,22,911851.1344
US_OKA,Okauchee,23,742986.6861
US_OKA,Okauchee,24,574126.7095
US_OKA,Okauchee,25,405270.8789
US_OKA,Okauchee,26,236410.2276
US_OKA,Okauchee,27,67545.77932
US_OKA,Okauchee,28,0
