SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA
US_Too,Toolik,0,1489515.25
US_Too,Toolik,1,1417009.76
US_Too,Toolik,2,1297368.07
US_Too,Toolik,3,1180883.92
US_Too,Toolik,4,1046153.79
US_Too,Toolik,5,908155.19
US_Too,Toolik,6,783952.79
US_Too,Toolik,7,668348.83
US_Too,Toolik,8,563945.13
US_Too,Toolik,9,472129.95
US_Too,Toolik,10,386009.69
US_Too,Toolik,11,328676.84
US_Too,Toolik,12,276429.67
US_Too,Toolik,13,227951.14
US_Too,Toolik,14,186518.29
US_Too,Toolik,15,146444.98
US_Too,Toolik,16,110846.58
US_Too,Toolik,17,83819.98
US_Too,Toolik,18,56592.74
US_Too,Toolik,19,33401.97
US_Too,Toolik,20,19945.55
US_Too,Toolik,21,11489.26
US_Too,Toolik,22,7415.33
US_Too,Toolik,23,4304.13
US_Too,Toolik,24,2495.59
US_Too,Toolik,25,95.45
US_Too,Toolik,26,95.45
