SITE_ID,SITE_NAME,TIMESTAMP_START,TIMESTAMP_END,DEPTH,WTEMP
US-Was,Washington,199401050930,199401051000,1,7.93
US-Was,Washington,199401050930,199401051000,10,7.91
US-Was,Washington,199401050930,199401051000,40,7.87
US-Was,Washington,199401050930,199401051000,60,7.87
US-Was,Washington,199401051030,199401051100,1,7.91
US-Was,Washington,199402150930,199402151000,1,7.16
US-Was,Washington,199402150930,199402151000,1,7.16
US-Was,Washington,199402150930,199402151000,10,7.15
US-Was,Washington,199402150930,199402151000,20,7.15
US-Was,Washington,199402150930,199402151000,40,7.14
US-Was,Washington,199402150930,199402151000,60,7.12
US-Was,Washington,199403070830,199403070900,1,7.34
US-Was,Washington,199403070830,199403070900,5,7.33
US-Was,Washington,199403070830,199403070900,10,7.34
US-Was,Washington,199403070830,199403070900,20,7.33
US-Was,Washington,199403070930,199403071000,1,7.36
US-Was,Washington,199403070930,199403071000,40,7.17
US-Was,Washington,199403070930,199403071000,60,7.01
US-Was,Washington,199403210930,199403211000,1,7.53
US-Was,Washington,199403210930,199403211000,1,7.54
US-Was,Washington,199403210930,199403211000,5,7.53
US-Was,Washington,199403210930,199403211000,10,7.53
US-Was,Washington,199403210930,199403211000,20,7.55
US-Was,Washington,199403210930,199403211000,40,7.5
US-Was,Washington,199403210930,199403211000,60,7.48
US-Was,Washington,199404040830,199404040900,1,7.92
US-Was,Washington,199404040830,199404040900,1,7.89
US-Was,Washington,199404040830,199404040900,5,7.92
US-Was,Washington,199404040830,199404040900,10,7.86
US-Was,Washington,199404040830,199404040900,15,7.61
US-Was,Washington,199404040830,199404040900,20,7.51
US-Was,Washington,199404040830,199404040900,25,7.51
US-Was,Washington,199404040830,199404040900,30,7.51
US-Was,Washington,199404040830,199404040900,40,7.44
US-Was,Washington,199404040830,199404040900,50,7.27
US-Was,Washington,199404040830,199404040900,55,7.24
US-Was,Washington,199404040830,199404040900,60,7.2
US-Was,Washington,199404180730,199404180800,1,11.31
US-Was,Washington,199404180730,199404180800,1,11.42
US-Was,Washington,199404180730,199404180800,5,9.94
US-Was,Washington,199404180730,199404180800,10,9.26
US-Was,Washington,199404180730,199404180800,15,8.95
US-Was,Washington,199404180730,199404180800,20,8.78
US-Was,Washington,199404180730,199404180800,25,8.08
US-Was,Washington,199404180730,199404180800,30,7.92
US-Was,Washington,199404180730,199404180800,40,7.6
US-Was,Washington,199404180730,199404180800,50,7.46
US-Was,Washington,199404180730,199404180800,55,7.4
