Date, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
20120101,None,2.9295,3.580833333,3.7985,3.814333333,None,3.97,None,4.192666667,None
20120102,None,2.9195,3.644166667,3.795166667,3.849166667,None,3.977166667,None,4.196166667,None
20120103,None,2.902166667,3.648166667,3.806,3.861666667,None,3.982166667,None,4.207,None
20120104,None,2.891333333,3.617833333,3.790333333,3.872833333,None,3.9895,None,4.226833333,None
20120105,None,2.891833333,3.646666667,3.7845,3.8485,None,3.982,None,4.210833333,None
20120106,None,2.900833333,3.593333333,3.796833333,3.814,None,3.975,None,4.192666667,None
20120107,None,2.933,3.5855,3.810666667,3.817833333,None,3.987166667,None,4.199166667,None
20120108,None,2.960666667,3.644166667,3.824833333,3.827666667,None,3.995666667,None,4.213166667,None
20120109,None,2.9505,3.608666667,3.8235,3.835,None,3.977333333,None,4.2035,None
20120110,None,2.963333333,3.5905,3.829833333,3.875333333,None,4.000666667,None,4.217166667,None
20120111,None,2.95,3.622333333,3.814666667,3.875833333,None,3.992666667,None,4.227333333,None
20120112,None,2.941166667,3.6405,3.8025,3.869333333,None,3.988833333,None,4.235,None
20120113,None,2.946833333,3.6615,3.8195,3.854833333,None,4.0014,None,4.241666667,None
20120114,None,2.944833333,3.660833333,3.823,3.850166667,None,4.005333333,None,4.238333333,None
20120115,None,2.9355,3.643166667,3.839666667,3.888,None,4.007333333,None,4.232,None
20120116,None,2.910666667,3.628666667,3.838,3.893666667,None,4.000333333,None,4.237666667,None
20120117,None,2.888666667,3.6085,3.8375,3.894166667,None,4.006666667,None,4.248333333,None
20120118,None,2.861166667,3.5725,3.833,3.884166667,None,4.003833333,None,4.247333333,None
20120119,None,2.846166667,3.568833333,3.8408,3.8922,None,4.018833333,None,4.247833333,None
20120120,None,2.818333333,3.573833333,3.847,3.884,None,4.010833333,None,4.248333333,None
20120121,None,2.815166667,3.559166667,3.849,3.8866,None,4.021,None,4.263,None
20120122,None,2.8065,3.579166667,3.848333333,3.882666667,None,4.035,None,4.271166667,None
20120123,None,2.785666667,3.6175,3.8325,3.860833333,None,4.021666667,None,4.265,None
20120124,None,2.780833333,3.567333333,3.834,3.878,None,4.023166667,None,4.258,None
20120125,None,2.773166667,3.574333333,3.840666667,3.8945,None,4.027,None,4.273166667,None
20120126,None,2.766166667,3.551,3.84,3.896666667,None,4.026333333,None,4.293833333,None
20120127,None,2.763,3.599333333,3.8485,3.901166667,None,4.0305,None,4.305,None
20120128,None,2.749166667,3.6195,3.835666667,3.894333333,None,4.025166667,None,4.305333333,None
20120129,None,2.739833333,3.608833333,3.830833333,3.892166667,None,4.033,None,4.311666667,None
20120130,None,2.743166667,3.602333333,3.851333333,3.894333333,None,4.042,None,4.308,None
20120131,None,2.722833333,3.5735,3.843833333,3.876833333,None,4.032,None,4.295333333,None
20120201,None,2.706333333,3.4645,3.824,3.861166667,None,4.016666667,None,4.285833333,None
20120202,None,2.733833333,3.4945,3.846833333,3.8955,None,4.050833333,None,4.315666667,None
20120203,None,2.747666667,3.542,3.846666667,3.898,None,4.064666667,None,4.322166667,None
20120204,None,2.731833333,3.4715,3.830666667,3.8695,None,4.049,None,4.3125,None
20120205,None,2.771333333,3.530333333,3.8525,3.906666667,None,4.073,None,4.345166667,None
20120206,None,2.762166667,3.548,3.852833333,3.912833333,None,4.069333333,None,4.356666667,None
20120207,None,2.779333333,3.621333333,3.864666667,3.924666667,None,4.0795,None,4.375333333,None
20120208,None,2.7555,3.594833333,3.850666667,3.897833333,None,4.049833333,None,4.351333333,None
20120209,None,2.7595,3.571,3.8485,3.891,None,4.045,None,4.352166667,None
20120210,None,2.777,3.595,3.861166667,3.910833333,None,4.064666667,None,4.361833333,None
20120211,None,2.774,3.5975,3.873833333,3.922,None,4.070333333,None,4.3645,None
20120212,None,2.7615,3.543,3.859,3.911666667,None,4.071166667,None,4.36,None
20120213,None,2.7275,3.563833333,3.847166667,3.9055,None,4.062166667,None,4.343833333,None
20120214,None,2.722833333,3.550833333,3.8485,3.904,None,4.063166667,None,4.352166667,None
20120215,None,2.73,3.597166667,3.859333333,3.926,None,4.086833333,None,4.371,None
20120216,None,2.711166667,3.5955,3.871333333,3.927,None,4.0805,None,4.370333333,None
20120217,None,2.692333333,3.5885,3.852833333,3.919833333,None,4.078,None,4.3735,None
20120218,None,2.6765,3.577833333,3.873666667,3.932,None,4.075833333,None,4.368666667,None
20120219,None,2.669833333,3.586833333,3.850166667,3.932666667,None,4.086333333,None,4.3905,None
20120220,None,2.655166667,3.557166667,3.8815,3.9455,None,4.085,None,4.381833333,None
20120221,None,2.645333333,3.5375,3.874833333,3.943166667,None,4.092333333,None,4.389666667,None
20120222,None,2.627833333,3.555166667,3.8765,3.937666667,None,4.077,None,4.3755,None
20120223,None,2.611166667,3.572833333,3.849833333,3.921,None,4.069166667,None,4.377166667,None
20120224,None,2.591666667,3.581166667,3.853166667,3.921166667,None,4.066166667,None,4.371333333,None
20120225,None,2.595833333,3.595,3.871,3.929166667,None,4.071333333,None,4.376833333,None
20120226,None,2.576833333,3.586333333,3.871833333,3.936333333,None,4.0795,None,4.386333333,None
20120227,None,2.555666667,3.508833333,3.8975,3.946,None,4.079666667,None,4.373666667,None
20120228,None,2.550666667,3.544,3.8655,3.938,None,4.100333333,None,4.3875,None
20120229,None,2.509166667,3.595333333,3.851333333,3.925166667,None,4.077166667,None,4.364166667,None
20120301,None,2.472166667,3.5355,3.845666667,3.919833333,None,4.074666667,None,4.368833333,None
20120302,None,2.392666667,3.52,3.837,3.9085,None,4.0575,None,4.344333333,None
20120303,None,2.3285,3.470833333,3.870333333,3.93,None,4.070666667,None,4.339333333,None
20120304,None,2.289666667,3.434,3.861166667,3.939333333,None,4.087333333,None,4.353166667,None
20120305,None,2.258666667,3.461333333,3.854,3.949333333,None,4.1045,None,4.361666667,None
20120306,None,2.222666667,3.425,3.847666667,3.9375,None,4.088166667,None,4.342833333,None
20120307,None,2.237,3.444166667,3.8415,3.939333333,None,4.097333333,None,4.356166667,None
20120308,None,2.251666667,3.463,3.844,3.952333333,None,4.11,None,4.367333333,None
20120309,None,2.244333333,3.468166667,3.840833333,3.931833333,None,4.086666667,None,4.354,None
20120310,None,2.2435,3.474,3.833833333,3.929166667,None,4.088333333,None,4.348333333,None
20120311,None,2.252666667,3.461666667,3.865666667,3.952666667,None,4.1045,None,4.364833333,None
20120312,None,2.250166667,3.453833333,3.840833333,3.943166667,None,4.098166667,None,4.355166667,None
20120313,None,2.236166667,3.443666667,3.816,3.9058,None,4.083333333,None,4.3375,None
20120314,None,2.186833333,3.424166667,3.825,3.925833333,None,4.079333333,None,4.328,None
20120315,None,2.040833333,3.375333333,3.8035,3.903,None,4.056333333,None,4.306333333,None
20120316,None,1.954,3.293,3.7895,3.911833333,None,4.069666667,None,4.318,None
20120317,None,1.894666667,3.269666667,3.785833333,3.923833333,None,4.078833333,None,4.326,None
20120318,None,1.83,3.2635,3.781333333,3.91,None,4.08,None,4.332833333,None
20120319,None,1.790166667,3.221,3.8045,3.923833333,None,4.083,None,4.331666667,None
20120320,None,1.809666667,3.221166667,3.790333333,3.928166667,None,4.091666667,None,4.3545,None
20120321,None,1.609,3.117,3.752833333,3.8965,None,4.059833333,None,4.32,None
20120322,None,1.504833333,3.058666667,3.685833333,3.866166667,None,4.058166667,None,4.3165,None
20120323,None,1.509666667,3.003333333,3.685833333,3.870833333,None,4.0595,None,4.3055,None
20120324,None,1.409333333,2.933,3.657333333,3.842,None,4.011,None,4.252333333,None
20120325,None,1.472666667,2.955333333,3.608333333,3.845666667,None,4.018,None,4.284833333,None
20120326,None,1.5845,2.955333333,3.623666667,3.827,None,4.006166667,None,4.27,None
20120327,None,1.778833333,2.961333333,3.655666667,3.8675,None,4.0535,None,4.310833333,None
20120328,None,1.800666667,2.8705,3.6315,3.843166667,None,4.022166667,None,4.283666667,None
20120329,None,1.9095,2.783333333,3.6695,3.884166667,None,4.061666667,None,4.321666667,None
20120330,None,2.066333333,2.817166667,3.6185,3.875833333,None,4.070833333,None,4.326333333,None
20120331,None,2.256833333,2.895333333,3.6795,3.8885,None,4.065833333,None,4.3375,None
20120401,None,2.605333333,2.998666667,3.688833333,3.896333333,None,4.071166667,None,4.357,None
20120402,None,2.793166667,3.021,3.701166667,3.906,None,4.089666667,None,4.366666667,None
20120403,None,3.046666667,3.191833333,3.743,3.887833333,None,4.088666667,None,4.38,None
20120404,None,3.284833333,3.186666667,3.719,3.854166667,None,4.0745,None,4.3575,None
20120405,None,3.443166667,3.262166667,3.706333333,3.855666667,None,4.060333333,None,4.364666667,None
