,lake,model,scenario,nbr_forcing_data,forcing_data_empty,hyspometry,daily_obs,init,input,par,calibration
0,Allequash_Lake,GFDL-ESM2M,historical,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
1,Allequash_Lake,GFDL-ESM2M,piControl,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
2,Allequash_Lake,GFDL-ESM2M,rcp26,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
3,Allequash_Lake,GFDL-ESM2M,rcp60,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
4,Allequash_Lake,GFDL-ESM2M,rcp85,6,1,Exist,Exist,Exist,Does not exist,Exist,Does not exist
5,Allequash_Lake,HadGEM2-ES,historical,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
6,Allequash_Lake,HadGEM2-ES,piControl,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
7,Allequash_Lake,HadGEM2-ES,rcp26,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
8,Allequash_Lake,HadGEM2-ES,rcp60,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
9,Allequash_Lake,HadGEM2-ES,rcp85,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
10,Allequash_Lake,IPSL-CM5A-LR,historical,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
11,Allequash_Lake,IPSL-CM5A-LR,piControl,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
12,Allequash_Lake,IPSL-CM5A-LR,rcp26,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
13,Allequash_Lake,IPSL-CM5A-LR,rcp60,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
14,Allequash_Lake,IPSL-CM5A-LR,rcp85,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
15,Allequash_Lake,MIROC5,historical,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
16,Allequash_Lake,MIROC5,piControl,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
17,Allequash_Lake,MIROC5,rcp26,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
18,Allequash_Lake,MIROC5,rcp60,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
19,Allequash_Lake,MIROC5,rcp85,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
20,Allequash_Lake,EWEMBI,historical,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
21,Annie,GFDL-ESM2M,historical,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
22,Annie,GFDL-ESM2M,piControl,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
23,Annie,GFDL-ESM2M,rcp26,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
24,Annie,GFDL-ESM2M,rcp60,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
25,Annie,GFDL-ESM2M,rcp85,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
26,Annie,HadGEM2-ES,historical,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
27,Annie,HadGEM2-ES,piControl,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
28,Annie,HadGEM2-ES,rcp26,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
29,Annie,HadGEM2-ES,rcp60,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
30,Annie,HadGEM2-ES,rcp85,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
31,Annie,IPSL-CM5A-LR,historical,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
32,Annie,IPSL-CM5A-LR,piControl,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
33,Annie,IPSL-CM5A-LR,rcp26,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
34,Annie,IPSL-CM5A-LR,rcp60,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
35,Annie,IPSL-CM5A-LR,rcp85,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
36,Annie,MIROC5,historical,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
37,Annie,MIROC5,piControl,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
38,Annie,MIROC5,rcp26,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
39,Annie,MIROC5,rcp60,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
40,Annie,MIROC5,rcp85,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
41,Annie,EWEMBI,historical,6,0,Exist,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist
42,Big_Muskellunge_Lake,GFDL-ESM2M,historical,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
43,Big_Muskellunge_Lake,GFDL-ESM2M,piControl,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
44,Big_Muskellunge_Lake,GFDL-ESM2M,rcp26,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
45,Big_Muskellunge_Lake,GFDL-ESM2M,rcp60,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
