,PikeID,Name,ebhex,SubID,Max depth,Latitude,Longitude,start,end,Ice on,ice out,numday,meanice
0,635,Locknesjön,0xe0f0b,19531,57.4,64.01985298220814,14.207410541174252,1866.0,2002.0,2019-12-07,2019-05-17,160.0,182.7
1,713,Åresjön,0x9344da,21493,18.900000000000002,62.9296130889691,16.849247138811656,1870.0,1974.0,2019-11-16,2019-05-22,186.0,0.0
2,99045,Betarsjön,0x4dfb80,23177,45.08,57.98623926188229,11.923302483030088,1870.0,1985.0,2019-11-17,2019-05-19,182.0,153.4
4,89596,Häggsjön,0xaafe42,23956,61.0,63.29657233277941,13.686820778865716,1870.0,2004.0,2019-12-04,2019-05-19,165.0,84.1
5,98402,Hotagen,0x5b749a,23898,65.1675,63.1876223827074,13.622066678588347,1870.0,1991.0,2019-11-28,2019-05-23,175.0,0.0
6,792,Juvuln,0x2298e3,23138,70.1875,61.21501664195467,13.923869733091902,1870.0,1991.0,2019-12-07,2019-05-26,169.0,0.0
7,724,Kallsjön,0x66c4a,22304,95.0325,63.64978747783364,13.816591828413568,1870.0,2011.0,2019-12-05,2019-05-19,164.0,0.0
8,99882,Liten,0x50e196,21127,19.9,63.34601194038412,14.241946589161692,1870.0,1974.0,2019-11-28,2019-05-15,167.0,0.0
9,4479,Malgomaj,0xab7bf3,28085,113.5,64.43308314253298,14.315219697916211,1870.0,1981.0,2019-12-14,2019-05-24,160.0,0.0
10,93333,Näkten,0xf5f168,19102,44.0,64.38836623802607,14.430823999490682,1870.0,2011.0,2019-12-07,2019-05-17,160.0,197.0
11,875,Rengen,0x84454f,41637,70.0,61.43222550339115,14.698635895794316,1870.0,2010.0,2019-12-07,2019-05-19,162.0,12.6
12,38399,Skagern,0xcbbac4,5813,75.3325,58.533162488765754,15.041244881837876,1870.0,1996.0,2020-01-22,2019-04-11,78.0,0.0
13,6950,Storvindeln,0xaeb6a7,31358,35.9,64.02593047193913,15.621482623368944,1870.0,1993.0,2019-11-12,2019-05-29,197.0,153.0
14,901,Tåsjön,0xcfc39d,26058,52.2625,63.03015193229029,15.988732280262841,1870.0,2011.0,2019-11-26,2019-05-19,173.0,0.0
