lake_id,subid,name,ebhex,area,depth,longitude,latitude,Mean,volume,Turnover,sedimentArea,Subcatchment_Area,Catchment_Area,C.L,SC.L
72891,25351,Tjusjön,0x31e76f,4250489,3.875,16.646932,64.141404,1.835082975,7800000,0.362,,20189092,164676365,38.74292228,4.749828079
4810,27220,Knäppingesjön,0xfd0838,568892,4,18.393153,64.555377,3.507729415,1995519.202,0.974509962,579473.143,11012284,11012284,19.35742461,19.35742461
101115,21742,Neder-Kriken,0x77414b,733503,4,14.049999,63.450385,3.69438359,2709841.446,0.0168,745632.1114,5562345,532966558,726.6044692,7.583261418
59185,14256,Gäddsjön,0x92b80c,174850,5,14.698636,61.432226,4.14,807581.9038,0.679,181952.9867,2331790,2331790,13.3359451,13.3359451
89534,24002,Väster-Lillsjön,0x7d156d,194986,5,14.767378,63.89521,2.819425996,549748.5972,0.114482834,201113.4062,766546,27824742,142.7012298,3.931287374
32276,3326,Ralången,0xfb9a8c,4935398,5,14.81677,57.912728,2.86,16579097.44,0.102,4966461.875,20074829,591303189,119.808613,4.067519783
100866,21772,Bodtjärnen,0xf92426,105321,6,17.8453,63.45875,3.89,462273.7759,0.0918,111052.2338,8723517,12907926,122.5579514,82.82789757
21613,11406,Kvarntjärnen,0xa5f736,199923,6,13.934804,60.558595,4,899454.4654,0.0343,207942.7966,4272269,56665144,283.4348424,21.36957229
13133,8798,Rövattnet,0x52440d,381229,6,12.010334,59.637069,3.232674145,1232389.132,0.809789824,391072.1672,8770948,8770948,23.00703252,23.00703252
2783,30072,Östra Lomtjärnen,0x910e7f,395370,6,16.350004,65.337851,3.256782512,1287634.102,0.261720738,405434.9398,19393060,26088684,65.98549207,49.05040848
58899,13974,Näcksjön,0x6afb88,565925,6,14.307872,61.370685,4.16,2636410.827,0.704,579715.8031,6017479,6017479,10.63299731,10.63299731
97841,22436,Nästsjön,0xd919f6,1172205,6,13.844036,63.612025,3.93,5191848.243,1.37,1191434.384,10759446,10759446,9.178809167,9.178809167
89370,24075,Lill-Foskvattnet,0xa59565,409296,7,14.47798,63.896075,5.74,2551084.455,0.0188,424166.766,13127042,181429279,443.2715663,32.072246
22540,12210,Grundmången,0x70ec18,613975,7,14.459508,60.796046,3.71,2584796.98,0.234,628210.2808,6786742,21072405,34.3212753,11.05377581
681,20530,Degresjön,0x9d9356,680770,7,16.49338,63.168743,3.66,2832022.419,0.911,695646.7726,7753531,7753531,11.3893547,11.3893547
92840,19348,Öster-Rörtjärnen,0x8f7b88,107223,7.4,15.962948,62.900452,2.48,321545.2583,1.13,111750.3051,662358,662358,6.177387314,6.177387314
101111,21752,Rödtjärnen,0x57d70b,80396,7.666667,17.852568,63.445364,3.1,289015.9899,0.46,84150.75377,1552167,1552167,19.30652022,19.30652022
58764,14417,Södra Gällsjön,0x29cb75,558448,8,14.520237,61.514214,4.15,2596826.322,1.06,573606.3423,4244350,4244350,7.600260006,7.600260006
38645,5699,Vångsjön,0x77702d,1041824,9.5,12.061575,58.931632,4.57,5275012.789,0.104,1057089.676,44747627,99806395,95.79966962,42.95123457
255,12959,Kölsjön,0x2211d4,2853090,9.625,16.047936,61.023172,4.05,12970494.64,0.54,2867140.572,16840526,53675398,18.81307565,5.902556877
