lake_id,subid,name,area,depth,longitude,latitude
30704,2628,Solgen,21615184.000000,20.000000,15.114687,57.544312
30719,2665,Mycklaflon,11271107.000000,40.250000,15.289016,57.557268
30632,3077,Stora Svansjö,838998.000000,14.666667,12.360996,57.525851
31231,3085,Västra Nedsjön,2670585.000000,34.556667,12.438374,57.706215
31253,3132,Östra Nedsjön,7397702.000000,71.666667,12.487080,57.722419
34200,3321,Stora Holmevatten,339316.000000,30.000000,11.923302,57.986239
32276,3326,Ralången,4935398.000000,5.000000,14.816770,57.912728
33494,3510,Åsunden,52580706.000000,53.533333,15.694839,58.140902
32570,3514,Ören,9007164.000000,37.120000,14.559431,57.948266
33028,3547,Örlången,831333.000000,14.000000,15.481793,58.007389
33957,3558,Rödingehultesjön,402478.000000,32.000000,15.533511,58.012718
33495,3762,Drögen,8857798.000000,36.000000,15.545606,58.140684
68781,4694,Skiren,174525.000000,49.000000,16.231082,58.674072
66753,5049,Vänern,5650000000.000000,91.750000,12.370973,58.366991
68140,5129,Unden,92898820.000000,88.333333,14.387583,58.755486
36959,5558,Långvattnet,1355488.000000,41.500000,11.481647,58.841242
38645,5699,Vångsjön,1041824.000000,9.500000,12.061575,58.931632
38336,5726,Hosjö,331363.000000,21.000000,11.512313,58.883437
38225,5731,Lilla Le,740358.000000,59.125000,11.929790,58.911748
38399,5813,Skagern,132152812.000000,75.332500,14.112139,58.986244
37627,6148,Krokvattnet,320207.000000,15.000000,12.366452,58.995902
37867,6169,Stora Tresticklan,1289857.000000,25.000000,11.787706,59.027926
38012,6199,Boksjön,8252152.000000,55.000000,11.694283,58.997129
39832,7799,Älmheds-Långtjärnen,155589.000000,24.000000,12.411210,59.418893
39745,7799,Hasselbacketjärnet,124299.000000,19.000000,12.421271,59.416998
40234,8050,Glatjärnen,109143.000000,13.000000,12.490253,59.446979
40028,8164,Rödvattnet,262590.000000,45.000000,12.540673,59.458312
39747,8164,Östra Rödvattnet,196432.000000,25.833333,12.602053,59.421385
40022,8178,Frosstjärnet,378399.000000,18.000000,12.673134,59.468565
40063,8251,Bjursjön,347178.000000,11.000000,12.437573,59.472851
13133,8798,Rövattnet,381229.000000,6.000000,12.010334,59.637069
13008,8868,Gränsjön,2001649.000000,35.000000,12.334536,59.585510
12905,8878,Torrvarpen,22667105.000000,65.000000,14.556939,59.641366
13301,8922,Körttjärnet,164759.000000,27.000000,12.350383,59.622675
13085,8937,Södra Örsjön,934485.000000,36.833333,12.408543,59.631564
13162,8957,Norra Örsjön,507292.000000,34.833333,12.377575,59.642975
14559,9071,Yngen,27039778.000000,64.333333,14.315987,59.688764
14306,9171,Skårsjön,384538.000000,9.700000,11.975940,59.714515
14305,9381,Långban,7262840.000000,46.000000,14.321514,59.804546
15994,9467,Ängsjön,1590059.000000,18.000000,12.826149,59.862595
