lake,M1S1,M1S2,M1S3,M1S4,M1S5,M1S6,M1S7,M1S8,M2S1,M2S2,M2S3,M2S4,M2S5,M2S6,M2S7,M2S8,M3S1,M3S2,M3S3,M3S4,M3S5,M3S6,M3S7,M3S8,M4S1,M4S2,M4S3,M4S4,M4S5,M4S6,M4S7,M4S8,M5S1,M5S2,M5S3,M5S4,M5S5,M5S6,M5S7,M5S8,M6S1,M6S2,M6S3,M6S4,M6S5,M6S6,M6S7,M6S8
100866,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,3,3,3,3,3,4,4,4
92840,4,4,3,3,4,4,4,4,4,4,1,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,1,3,3,3,4,4,4
59185,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4
89534,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,3,3,3,3,3,4,4,4
21613,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,3,3,3,3,3,4,4,4
40234,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
18012,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,3,4,4,0,4,4,4,4,4,3,4,4,3,0,0,0,0,4,4,4
39745,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
13133,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,3,3,3,3,3,4,4,4
2783,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4
4810,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4
89370,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,3,3,3,3,3,4,4,4
22498,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
39832,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
101115,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,3,3,3,3,3,4,4,4
