Name,Subid,ebhex,Area,MaxDepth,MeanDepth,CatchementArea,RatioC/A,Sediment,Longitude,Latitude,Volume,SWA_B1,I_scDOC,k_SOD,k_BOD,lnSOD,LnArea
Åsunden,3510,0x5174f5,52580706,53.533333,14.3,1925150000,36.61323985,2.20E+14,15.694839,58.140902,965000000,0.32,4.41697661,10,0.006,2.302585093,17.7778598
Betarsjön,13834,0xfaed2d,1178685,17,4.28,478160000,7.966505046,1.11E+11,14.273501,61.327758,7280000,0.42,4.75760732,100,0.001,4.605170186,13.97990997
Bösjön,23177,0x4dfb80,34085962,45.08,10.6,9390000,14.02806234,9.25E+13,16.769348,63.737031,529000000,0.35,4.52246752,,,,17.34439619
Ralången,3326,0xfb9a8c,4935398,5,2.86,591300000,119.8079669,1.94E+12,14.81677,57.912728,10900000,1.4,7.06366669,700,0.05,6.551080335,15.41194388
Solgen,2628,0x980c7,21615184,20,7.16,621500000,28.7529359,3.72E+13,15.114687,57.544312,155000000,0.69,5.54697298,1000,0.1,6.907755279,16.88890659
Sommen,40544,0x7475a3,130301503,53,13.8,808930000,6.208140208,1.35E+15,15.040549,58.146912,2370000000,0.25,4.15858393,350,0.02,5.857933154,18.68536158
Storsjön,20344,0x2af5d2,456332771,74,20.5,12061400000,26.43115017,1.66E+16,14.460104,63.298349,11500000000,0.25,4.15858393,100,0.001,4.605170186,19.93873286
Stor-Ullen,9736,0x11a5a0,7421526,74,19.9,38780000,5.225340449,4.38E+12,13.741289,59.98006,187000000,,,10,0.003,2.302585093,15.81989525
Storvindeln,31358,0xaeb6a7,52161748,35.9,15.3,2901630000,55.6275453,2.17E+14,17.450652,65.636858,651000000,0.19,3.92191784,,,,17.76985999
Västra_Skälsjön,11507,0xd2d6cd,391746,18.9,3.33,1710000,4.365073287,12212351543,15.552944,59.934751,2670000,0.15,3.75537385,100,0.0005,4.605170186,12.87836895
Vättern?,40622,0xfd7b78,1885977434,128,40.3,5733680000,3.040163629,2.83E+17,15.041245,58.533162,81400000000,0.12,3.62540261,10,7.50E-06,2.302585093,21.35771206
Viaredssjön,40488,0xca9cd5,3858150,28.634,12.4,68660000,17.79609398,1.18E+12,12.737569,57.69532,38800000,0.55,5.15851748,40,0.005,3.688879454,15.16569835
